title,imdbRating,imdbVotes,tomatometer
Get Santa,6.2,"2,646",79%
Ghost Patrol,4.9,160,N/A
Gnome Alone,5.6,"2,095",N/A
GO! The Unforgettable Party,6.0,32,N/A
God Bless the Broken Road,5.3,692,18%
Going for Gold,4.7,320,N/A
Good Burger,5.7,"24,535",32%
Good Sam,5.6,"1,871",60%
Goosebumps 2: Haunted Halloween,5.6,"14,365",48%
Growing Up Wild,7.1,125,N/A
Harriet the Spy: Blog Wars,4.7,"1,669",N/A
Hedgehogs,4.8,107,N/A
Hey Arnold! The Jungle Movie,N/A,N/A,N/A
Holiday in the Wild,6.1,"6,394",N/A
Holiday Rush,4.8,779,N/A
Holly Star,6.1,76,N/A
Holy Expectations,N/A,N/A,N/A
Hoodwinked Too! Hood vs. Evil,4.7,"11,461",11%
Hope Aur Hum,6.4,273,60%
Hotel Transylvania 3: Summer Vacation,6.3,"46,865",62%
How the Grinch Stole Christmas,6.1,"187,892",50%
I Am Kalam,8.0,"3,056",N/A
I Dream Of Dance,8.1,38,N/A
Igor,6.0,"21,688",39%
Imagine That,5.6,"12,759",41%
Incredibles 2 (Spanish Version),N/A,N/A,N/A
Invader Zim: Enter the Florpus,7.6,"3,538",100%
Iron Man & Captain America: Heroes United,N/A,N/A,N/A
It Takes Two,5.8,"18,814",8%
Jack and the Cuckoo-Clock Heart,7.0,"5,696",77%
Jessica Darling's It List,5.5,673,N/A
Jinxed,6.6,"1,023",N/A
Joseph: King of Dreams,6.5,"10,051",N/A
Judy Moody and the Not Bummer Summer,4.2,"2,752",20%
Kahlil Gibran's The Prophet,N/A,N/A,N/A
Kevin Hart's Guide to Black History,5.5,961,N/A
Kids on the Block,7.2,"1,001",N/A
Klaus,8.4,"11,671",N/A
Krish Trish and Baltiboy,N/A,N/A,N/A
Krish Trish and Baltiboy: Battle of Wits,N/A,N/A,N/A
Krish Trish and Baltiboy: Best Friends Forever,N/A,N/A,N/A
Krish Trish and Baltiboy: Comics of India,N/A,N/A,N/A
Krish Trish and Baltiboy: Face Your Fears,N/A,N/A,N/A
Krish Trish and Baltiboy: Oversmartness Never Pays,N/A,N/A,N/A
Krish Trish and Baltiboy: Part II,N/A,N/A,N/A
Krish Trish and Baltiboy: The Greatest Trick,N/A,N/A,N/A
Kung Fu Magoo,4.9,117,N/A
Kung Fu Panda: Holiday,6.8,"4,905",N/A
Kung Fu Panda: Secrets of the Scroll,7.1,"1,297",N/A
Leap!,6.8,"17,523",40%
LEGENDS OF THE HIDDEN TEMPLE,8.1,"2,610",N/A
LEGO Jurassic World: The Indominus Escape,5.7,629,N/A
LEGO Marvel Super Heroes: Avengers Reassembled!,6.3,494,N/A
LEGO Marvel Super Heroes: Black Panther,5.8,304,N/A
LEGO Marvel Super Heroes: Guardians of the Galaxy,6.2,181,N/A
LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,N/A,N/A,N/A
LEGO: Marvel Super Heroes: Maximum Overload,6.5,993,N/A
Leo the Lion,1.6,243,N/A
"Liar, Liar, Vampire",5.8,695,N/A
Little Baby Bum: Go Buster,N/A,N/A,N/A
Little Lunch: The Halloween Horror Story,N/A,N/A,N/A
Little Lunch: The Nightmare Before Graduation,N/A,N/A,N/A
Little Monsters,6.1,"10,507",50%
Little Singham - Rise of Kaal,N/A,N/A,N/A
Little Singham Bandarpur Mein Hu Ha Hu,N/A,N/A,N/A
Little Singham in London,N/A,N/A,N/A
Little Singham: Kaal Ki Tabaahi,N/A,N/A,N/A
Little Singham: Mahabali,N/A,N/A,N/A
Luccas Neto in: Summer Camp,N/A,N/A,N/A
Magic Snowflake,6.4,148,N/A
Magnus,7.1,"1,596",80%
Malibu Rescue,4.6,579,N/A
Mariah Carey's Merriest Christmas,4.8,144,N/A
Marvel Super Hero Adventures: Frost Fight!,5.1,556,N/A
Marvel's Hulk: Where Monsters Dwell,N/A,N/A,N/A
Mary Poppins Returns,6.8,"64,106",79%
Mi amigo Alexis,N/A,N/A,N/A
Middle School: The Worst Years of My Life,6.1,"6,856",63%
Miniforce: New Heroes Rise,N/A,N/A,N/A
Miracle,7.5,"44,354",80%
Monkey Up,3.9,295,N/A
Monster Family,4.8,"3,377",10%
"Monster High: Boo York, Boo York",6.5,490,N/A
Monster High: Escape from Skull Shores,6.9,403,N/A
Monster High: Freaky Fusion,6.8,475,N/A
Monster High: Friday Night Frights,6.9,436,N/A
Monster High: Fright On!,7.0,305,N/A
Monster High: Great Scarrier Reef,6.1,273,N/A
Monster High: Haunted,6.0,444,N/A
Monster High: New Ghoul at School,6.8,416,N/A
"Monster High: Scaris, City of Frights",6.8,331,N/A
Monster High: Why Do Ghouls Fall in Love?,6.8,498,N/A
Monster House,6.6,"92,608",75%
Monster Island,3.5,928,N/A
Motu Patlu: King of Kings,7.4,86,N/A
Mune: Guardian of the Moon,7.2,"5,413",80%
My Babysitter's a Vampire: The Movie,N/A,N/A,N/A
My Little Pony Equestria Girls: Legend of Everfree,6.4,912,N/A
My Little Pony Equestria Girls: Rainbow Rocks,6.9,"2,380",N/A
My Little Pony Equestria Girls: Friendship Games,6.5,"1,343",N/A
My Little Pony Equestria Girls: Rollercoaster of Friendship,6.4,156,N/A
My Little Pony Equestria Girls: Forgotten Friendship,7.1,378,N/A
My Little Pony Friendship Is Magic: Best Gift Ever,N/A,N/A,N/A
Next Gen,6.6,"11,842",80%
Norm of the North: Keys to the Kingdom,3.0,529,N/A
Norm of the North: King Sized Adventure,3.2,178,N/A
NOVA: Bird Brain,N/A,N/A,N/A
Open Season,6.1,"80,689",48%
Pachamama,6.8,401,N/A
Pants on Fire,5.2,638,N/A
Pee-wee's Big Holiday,6.1,"6,556",N/A
Penelope,6.7,"58,151",54%
Peter Rabbit,6.5,"29,736",64%
Pettersson and Findus 2,N/A,N/A,N/A
Planet 51,6.0,"48,269",22%
Power Rangers Samurai: Clash of the Red Rangers,6.9,45,N/A
Prince of Peoria: A Christmas Moose Miracle,N/A,N/A,N/A
Pup Star,4.7,299,N/A
Pup Star: Better 2Gether,4.7,123,N/A
Pup Star: World Tour,4.0,105,N/A
Puppy Star Christmas,4.5,82,N/A
Puss in Book: Trapped in an Epic Tale,5.3,325,N/A
R.L. Stine's Mostly Ghostly,N/A,N/A,N/A
Race to Witch Mountain,5.7,"52,386",42%
Radio Rebel,6.0,"7,563",N/A
Raising the Bar,7.5,"1,667",N/A
Ralph Breaks the Internet: Wreck-It Ralph 2,N/A,N/A,N/A
Rip Tide,5.5,"2,434",N/A
Rocko's Modern Life: Static Cling,7.0,"2,792",91%
Room on the Broom,7.6,"3,110",N/A
Rugrats in Paris: The Movie,6.1,"10,276",76%
Russell Madness,4.2,521,N/A
Sahara,6.0,"88,146",38%
Samudri Lootere,N/A,N/A,N/A
Santa Claws,3.0,564,N/A
Santa Girl,5.3,166,N/A
Santa's Apprentice,6.5,315,80%
Scooby-Doo on Zombie Island,7.7,"9,999",86%
Shorts,4.8,"6,292",46%
Shrek the Musical,7.1,"2,369",N/A
Silent,6.5,"205,735",31%
Spirit Riding Free: Spirit of Christmas,6.6,12,N/A
Spookley the Square Pumpkin,5.3,149,N/A
Spy Kids,5.4,"101,738",93%
Spy Kids 2: The Island of Lost Dreams,N/A,N/A,N/A
Spy Kids 3: Game Over,N/A,N/A,N/A
Spy Kids: All the Time in the World,N/A,N/A,N/A
Stretch Armstrong: The Breakout,N/A,N/A,N/A
Super Bheem Bana Vajraveer,N/A,N/A,N/A
Super Monsters and the Wish Star,4.7,23,N/A
Super Monsters Back to School,6.8,11,N/A
Super Monsters Furever Friends,5.5,39,N/A
Super Monsters Save Christmas,4.8,21,N/A
Super Monsters Save Halloween,5.3,39,N/A
Super Monsters: Vida's First Halloween,7.0,12,N/A
Surf's Up,6.7,"64,717",79%
Tall Girl,5.3,"11,764",N/A
Tarzan,7.3,"188,924",89%
Tarzan 2,5.6,"8,605",33%
Tayo the Little Bus Movie: Mission Ace,N/A,N/A,N/A
Tee Shot: Ariya Jutanugarn,N/A,N/A,N/A
Teenage Mutant Ninja Turtles,5.8,"194,261",22%
Tellur Aliens,4.5,61,N/A
The Adventure Club,N/A,N/A,N/A
The Adventures of Sharkboy and Lavagirl,3.5,"28,559",19%
The Adventures of Tintin,7.3,"205,547",73%
The Blue Umbrella,7.6,"7,856",N/A
The Boy Who Cried Werewolf,6.0,"2,422",N/A
The Boy Who Harnessed the Wind,7.6,"15,111",86%
The Breadwinner,7.7,"15,748",95%
The Christmas Chronicles,7.1,"38,036",64%
The Christmas Project,5.7,184,N/A
The Croods,7.2,"180,673",71%
The Dark Crystal,7.2,"57,943",79%
The Flintstones,4.9,"71,213",22%
The Flintstones in Viva Rock Vegas,3.6,"20,071",25%
The Guardian Brothers,5.5,"1,353",N/A
The Incredible Story of the Giant Pear,N/A,N/A,N/A
The Incredibles 2,N/A,N/A,N/A
The Karate Kid,7.2,"162,483",88%
The Knight Before Christmas,5.5,"6,095",N/A
The Little Mermaid,7.6,"219,998",93%
The Little Prince,7.7,"51,355",93%
The Mars Generation,6.5,785,N/A
The Massively Mixed-Up Middle School Mystery,7.4,54,N/A
The Nutcracker and the Four Realms,5.5,"23,624",33%
The Pink Panther,5.6,"77,511",21%
The Pirate Fairy,6.6,"11,433",81%
The Princess and the Frog,7.1,"113,843",85%
The Princess Switch,6.0,"15,207",75%
The Rainbow Troops,N/A,N/A,N/A
The Rugrats Movie,5.9,"17,034",59%
The Short Game,7.4,"1,219",84%
The Spiderwick Chronicles,6.5,"83,507",80%
The Spooky Tale of Captain Underpants Hack-a-ween,7.0,23,N/A
The Water Horse: Legend of the Deep,6.7,16,N/A
The Wishing Tree,8.4,"1,228",N/A
Tini: The New Life of Violetta,5.5,827,N/A
Tinker Bell and the Legend of the NeverBeast,7.3,"6,870",75%
Tom and Jerry: The Magic Ring,6.3,"2,228",N/A
Trolls Holiday Special,N/A,N/A,N/A
True: Grabbleapple Harvest,N/A,N/A,N/A
True: Happy Hearts Day,N/A,N/A,N/A
True: Tricky Treat Day,N/A,N/A,N/A
True: Winter Wishes,6.9,16,N/A
Turbo,6.4,"77,232",67%
Unaccompanied Minors,5.3,"9,835",29%
Walk. Ride. Rodeo.,6.4,"1,328",N/A
Walt Disney Animation Studios Short Films Collection,7.7,531,N/A
Welcome to Monster High: The Origin Story,N/A,N/A,N/A
White Christmas,7.6,"28,933",77%
White Fang,6.7,"18,263",63%
Wish Man,6.8,629,N/A
Woody Woodpecker,4.1,"2,970",13%
Yellowbird,5.5,"1,228",N/A
Yoko and His Friends,N/A,N/A,N/A
You Can Tutu,5.2,95,N/A
"Yours, Mine and Ours",7.2,"7,203",50%
Zapped,5.1,"3,589",N/A
Zipi & Zape y la Isla del Capitan,N/A,N/A,N/A
Zokkomon,4.2,268,N/A
Alice Doesn't Live Here Anymore,7.3,"19,685",87%
Bonnie and Clyde,7.8,"95,949",88%
Butterfield 8,6.4,"5,096",47%
Cat on a Hot Tin Roof,8.0,"41,868",97%
Cool Hand Luke,8.1,"152,327",100%
Doctor Zhivago,8.0,"65,802",83%
Grease,7.2,"218,294",75%
Hotel Pacific,7.4,568,N/A
Howards End,7.4,"26,523",94%
Hum Aapke Hain Koun,7.5,"17,309",N/A
Know Your Enemy - Japan,5.8,568,N/A
Lal Patthar,7.0,66,N/A
Let There Be Light,4.7,"2,256",100%
Like Water for Chocolate,7.1,"16,009",91%
Lolita,7.6,"85,740",93%
Malcolm X,7.7,"77,488",88%
Mean Streets,7.3,"89,994",97%
Monty Python's Life of Brian,8.1,"343,871",95%
Nazi Concentration Camps,N/A,N/A,N/A
Paris Is Burning,8.2,"10,029",100%
Pioneers of African-American Cinema,6.7,6,N/A
Pioneers: First Women Filmmakers*,N/A,N/A,N/A
Prelude to War,7.0,"1,693",N/A
Pulp Fiction,8.9,"1,701,276",92%
Raging Bull,8.2,"296,838",94%
Rain Man,8.0,"449,962",90%
Rebel Without a Cause,7.7,"77,655",96%
Rosemary's Baby,8.0,"177,254",97%
San Pietro,6.7,"1,737",N/A
Schindler's List,8.9,"1,121,710",97%
She's Gotta Have It,6.7,"8,535",91%
Stripes,6.9,"60,783",86%
Tango Feroz,7.5,13,N/A
The Battle of Midway,6.2,"1,491",N/A
The Cincinnati Kid,7.3,"14,042",85%
The Last Days of Chez Nous,6.6,752,85%
The Longest Yard,6.4,"153,721",31%
The Memphis Belle: A Story of a Flying Fortress,7.3,"1,097",N/A
The Negro Soldier,5.9,511,N/A
The Stranger,7.4,"20,355",96%
Thunderbolt,6.4,"7,695",N/A
Tunisian Victory,6.6,412,N/A
Undercover: How to Operate Behind Enemy Lines,N/A,N/A,N/A
Westerplatte Resists,7.2,302,N/A
What's Eating Gilbert Grape,7.8,"201,972",90%
Who's That Knocking at My Door,6.7,"6,887",68%
Winter of Our Dreams,6.4,191,N/A
"¡Ay, mi madre!",3.8,146,N/A
#realityhigh,5.2,"4,800",N/A
#Roxy,5.1,178,N/A
#Selfie,N/A,N/A,N/A
#Selfie 69,6.5,"1,220",N/A
10 Days in Sun City,N/A,N/A,N/A
10 jours en or,5.8,562,N/A
15 August,6.0,123,N/A
2 States,6.9,"22,117",44%
21 & Over,5.8,"69,741",26%
3 Idiots,8.4,"312,158",100%
3 Türken & ein Baby,5.4,"1,182",N/A
30 Days of Luxury,N/A,N/A,N/A
4L,5.8,"1,629",57%
4th Man Out,6.7,"8,683",58%
5 Flights Up,6.2,"8,297",45%
5 Star Christmas,N/A,N/A,N/A
5 to 7,7.1,"17,270",69%
50/50,7.6,"304,895",93%
68 Kill,6.0,"3,873",68%
7 Din Mohabbat In,N/A,N/A,N/A
90 ML,3.4,365,N/A
A Futile and Stupid Gesture,6.8,"11,606",67%
A Glimpse Inside the Mind of Charles Swan III,4.8,"4,725",16%
A Home with A View,5.9,15,N/A
A Mighty Team,N/A,N/A,N/A
A Mission in an Old Movie,N/A,N/A,N/A
A Night at the Roxbury,6.3,"53,958",11%
A Remarkable Tale,6.1,96,N/A
A Russell Peters Christmas,4.1,289,N/A
A Serious Man,7.0,"123,763",90%
A Trip to Jamaica,7.3,9,N/A
A Very Murray Christmas,5.5,"13,097",70%
Aadu 2,N/A,N/A,N/A
Aagey Se Right,5.2,327,N/A
Aajcha Divas Majha,7.3,22,N/A
Aata Pita,6.2,12,N/A
Abby Sen,5.8,226,N/A
Abhinetri,6.1,220,N/A
About a Boy,7.0,"164,771",93%
About Time,7.8,"274,173",69%
Acapulco La vida va,5.4,114,N/A
Adam Devine: Best Time of Our Lives,5.8,602,N/A
ADAM SANDLER 100% FRESH,7.6,"3,760",90%
Adel Karam: Live from Beirut,5.3,105,N/A
Adhugo,6.7,27,N/A
Aditi Mittal: Things They Wouldn't Let Me Say,4.3,260,N/A
Adventures in Public School,5.9,"1,534",71%
Agustín Aristarán: Soy Rada,6.2,35,N/A
Aiyyaa,4.3,"1,571",N/A
Alan Saldaña: Mi vida de pobre,6.8,12,N/A
Alarmoty in the Land of Fire,3.2,13,N/A
Alejandro Riaño: Especial de stand up,4.9,49,N/A
Alex Strangelove,6.3,"12,469",80%
Ali Wong: Baby Cobra,7.5,"4,946",100%
Ali Wong: Hard Knock Wife,7.3,"3,046",100%
Ali's Wedding,6.9,"3,375",92%
All About Nina,6.0,"1,227",86%
All the Reasons to Forget,N/A,N/A,N/A
"All's Well, End's Well (2009)",N/A,N/A,N/A
Always Be My Maybe,6.8,"36,057",90%
Amar Akbar & Tony,5.1,218,N/A
Among Family,N/A,N/A,N/A
Amy Schumer Growing,5.3,"2,934",79%
Amy Schumer: The Leather Special,2.9,"8,453",50%
An Upper Egyptian,N/A,N/A,N/A
Ana e Vitória,6.7,367,N/A
Anchor and Hope,6.5,655,75%
Andaz Apna Apna,8.2,"46,195",N/A
Andhadhun,8.4,"52,885",100%
Anger Management,6.2,"194,657",42%
Anjelah Johnson: Not Fancy,5.8,532,N/A
Antar: Son of Shadad,N/A,N/A,N/A
Anthony Jeselnik: Fire in the Maternity Ward,7.0,"1,921",80%
Anthony Jeselnik: Thoughts and Prayers,7.8,"3,719",100%
Anthony Kaun Hai?,5.4,563,N/A
Arango y Sanint: Ríase el show,N/A,N/A,N/A
Are We Done Yet?,4.2,"18,628",8%
Ari Shaffir: Double Negative,6.8,545,N/A
Arisan! 2,6.6,128,N/A
Arsenio Hall: Smart & Classy,N/A,N/A,N/A
Arthur,5.7,"49,543",26%
Asu Mare 2,N/A,N/A,N/A
ATM,4.7,"21,955",12%
Attitude Test,N/A,N/A,N/A
Austin Powers: International Man of Mystery,7.0,"210,656",70%
Aziz Ansari Live at Madison Square Garden,N/A,N/A,N/A
Aziz Ansari: Buried Alive,7.3,"3,343",100%
Aziz Ansari: RIGHT NOW,7.5,"3,481",86%
Baby Dolls,N/A,N/A,N/A
Back and Forth,6.4,169,N/A
Back to School,6.6,"26,151",85%
Back to the 90s,6.7,149,N/A
Bad Seeds,7.3,"2,463",N/A
Bana Masal Anlatma,N/A,N/A,N/A
Banana Island Ghost,7.4,14,N/A
Band Aid,6.6,"4,751",85%
Bangistan,4.5,"1,003",38%
Bangkok Traffic (Love) Story,7.2,"1,469",N/A
Barakah Meets Barakah,6.2,"1,251",N/A
Bareilly Ki Barfi,7.5,"15,152",70%
Barfi!,8.1,"70,625",86%
Barrio Universitario,3.6,260,N/A
BASEketball,6.5,"54,585",42%
Be Somebody,5.7,"3,272",N/A
Bean: The Ultimate Disaster Movie,N/A,N/A,N/A
Beavis and Butt-head Do America,6.8,"49,358",72%
Bebe's Kids,5.7,"4,440",30%
Because of Soccer,N/A,N/A,N/A
Because We're Heading Out,N/A,N/A,N/A
Berlin Kaplani,5.1,"6,061",N/A
Bert Kreischer: Secret Time,7.3,"1,253",N/A
Bert Kreischer: The Machine,7.5,361,N/A
Best Neighbors,N/A,N/A,N/A
Between Two Ferns: The Movie,6.1,"19,830",77%
Bewildered Bolbol,N/A,N/A,N/A
Big Bear,5.0,"1,108",N/A
Bill Burr: I'm Sorry You Feel That Way,8.4,"5,637",100%
Bill Burr: Let It Go,8.4,"4,236",N/A
Bill Burr: Paper Tiger,8.2,"5,887",86%
Bill Burr: Walk Your Way Out,7.2,"4,850",N/A
Bill Burr: You People Are All the Same,8.3,"5,188",N/A
Bill Hicks: One Night Stand,N/A,N/A,N/A
Bill Hicks: Relentless,8.7,"2,202",N/A
Bill Hicks: Revelations,8.6,"2,727",N/A
Bill Hicks: Sane Man,8.5,"2,040",N/A
Birthmarked,5.7,"2,373",12%
Bitch,5.0,"1,546",N/A
Bittoo Boss,4.1,337,N/A
Blessed Benefit,6.7,415,N/A
Blind Date,6.0,"19,676",21%
Blockbuster,3.8,651,N/A
Blue Mountain State: The Rise of Thadland,5.8,"14,116",N/A
Bo Burnham: Make Happy,8.4,"7,035",100%
Bo Burnham: what.,8.5,"5,691",N/A
Bollywood Calling,6.5,303,N/A
Bomb Scared,5.6,"2,305",N/A
Bombairiya,4.4,272,N/A
Bon Bini Holland,5.6,940,N/A
Boy Bye,5.4,331,N/A
Brad Paisley's Comedy Rodeo,5.6,110,N/A
Brahman Naman,5.6,"1,537",75%
Break Up 100,5.8,216,N/A
Brian Regan: Nunchucks and Flamethrowers,6.1,403,N/A
Bride For Rent,6.4,348,N/A
Bridget Christie: Stand Up for Her,6.3,70,N/A
Brij Mohan Amar Rahe,N/A,N/A,N/A
Bring It On: Worldwide Showdown,N/A,N/A,N/A
Brother in Love,N/A,N/A,N/A
Budapest,5.3,"1,696",N/A
Buddies,6.8,954,N/A
Bygones Be Bygones,N/A,N/A,N/A
Caida del Cielo,5.6,64,N/A
Cake,6.4,"33,746",48%
Camera Store,5.7,"1,441",N/A
Can't Help Falling in Love,7.1,610,N/A
Cappuccino,5.6,381,N/A
Care of Kancharapalem,N/A,N/A,N/A
Carlos Ballarta: El amor es de putos,6.9,68,N/A
Carlos Ballarta: Furia Ñera,7.2,120,N/A
Carrie Pilby,6.6,"5,453",62%
Çarsi Pazar,5.3,"1,432",N/A
Casa de mi Padre,5.5,"19,294",41%
Catching Feelings,5.5,363,100%
Catfight,5.8,"4,487",N/A
Cedric the Entertainer: Live from the Ville,5.9,596,N/A
Chadi Jawani Budhe Nu,N/A,N/A,N/A
Chal Bhaag,4.4,76,N/A
Chal Dhar Pakad,N/A,N/A,N/A
Chalay Thay Saath,N/A,N/A,N/A
Chamatkar,6.7,"5,129",N/A
Chance Pe Dance,4.7,"2,529",N/A
Chashme Buddoor,8.0,"1,989",N/A
Chelsea Handler: Uganda Be Kidding Me Live,N/A,N/A,N/A
Chelsea Peretti: One of the Greats,7.0,"1,947",100%
Chicken Kokkachi,4.8,71,N/A
Chief Daddy,N/A,N/A,N/A
Chingo Bling: They Can't Deport Us All,5.8,19,N/A
Chopsticks,6.5,"3,204",20%
Chris D'Elia: Incorrigible,6.5,"1,052",N/A
Chris D'Elia: Man on Fire,6.5,"1,142",N/A
Chris Rock: Tamborine,6.5,"5,007",100%
Chris Tucker Live,6.3,"1,584",N/A
Christian Mingle,4.2,"1,358",N/A
Christina P: Mother Inferior,6.4,636,N/A
Christmas Crush,N/A,N/A,N/A
Christmas Survival,5.1,94,0%
Christmas Wedding Planner,4.3,"3,759",N/A
Chup Chup Ke,6.7,"7,104",N/A
Chupan Chupai,N/A,N/A,N/A
Class Act,6.1,"6,475",17%
Class Rank,6.4,"1,021",N/A
Coco y Raulito: Carrusel de ternura,6.6,19,N/A
Coffee with D,4.5,563,17%
Çok Filim Hareketler Bunlar,4.2,"3,142",N/A
Colin Quinn: Red State Blue State,7.9,174,N/A
Colin Quinn: The New York Story,6.7,800,N/A
Colin Quinn: Unconstitutional,7.1,307,N/A
Colkatay Columbus,4.6,95,N/A
Couples Counseling,N/A,N/A,N/A
Craig Ferguson: Tickle Fight,6.6,793,N/A
Crazy Beautiful You,7.3,585,N/A
Crazy people,6.0,"3,984",37%
CRD,7.5,53,100%
Cristela Alonzo: Lower Classy,6.1,631,N/A
D.L. Hughley: Clear,6.7,181,N/A
D.L. Hughley: Contrarian,6.5,453,N/A
"Dana Carvey: Straight White Male, 60",6.4,"1,216",N/A
Daniel Sosa: Maleducado,7.1,27,N/A
Daniel Sosa: Sosafado,5.2,58,N/A
Dany Boon: Des Hauts De France,5.8,51,N/A
Dave Chappelle,8.6,"1,197",N/A
Dave Chappelle: Sticks & Stones,8.5,"17,697",35%
David Brent: Life on the Road,6.3,"16,242",58%
David Cross: Making America Great Again!,6.5,"1,432",71%
Dead in a Week... Or Your Money Back,6.2,"3,790",45%
Dear Dad,6.5,194,29%
Dear Ex,7.4,"2,062",89%
Dear Santa,6.4,"2,301",N/A
Dear Zindagi,7.6,"32,927",69%
Dedemin Fisi,5.6,"2,645",N/A
Deewana Main Deewana,2.8,241,N/A
Def Comedy Jam 25,6.6,791,N/A
Deidra & Laney Rob a Train,6.1,"1,363",92%
Deliha,4.6,"3,184",N/A
Deliha 2,4.4,"1,488",N/A
Demetri Martin: Live (At the Time),7.3,"1,673",N/A
Demetri Martin: The Overthinker,7.1,"1,078",N/A
Denis Leary: No Cure For Cancer,7.5,"2,353",N/A
Deon Cole: Cole Hearted,7.1,64,N/A
DeRay Davis: How to Act Black,6.1,354,N/A
Despite Everything,5.3,"2,797",20%
Dhanak,N/A,N/A,N/A
Dharam Sankat Mein,6.3,"1,784",33%
Dhoondte Reh Jaoge,5.6,590,N/A
Dieter Nuhr: Nuhr in Berlin,5.0,52,N/A
Dil Chahta Hai,8.1,"61,816",N/A
Dil Dhadakne Do,6.8,"13,107",64%
Dismissal,8.5,151,N/A
Do Dooni Chaar,7.6,"4,478",N/A
Dolemite Is My Name,7.4,"22,038",97%
Don Quixote: The Ingenious Gentleman of La Mancha,N/A,N/A,N/A
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.6,"45,313",31%
Don't Go Breaking My Heart,6.4,"1,411",83%
Don't Go Breaking My Heart 2,5.5,507,N/A
Don't Think Twice,6.7,"15,756",98%
Donald Glover: Weirdo,7.5,"2,403",N/A
Drink Drank Drunk,N/A,N/A,N/A
Dude,5.1,"5,497",N/A
Düğün Dernek,7.2,"18,596",N/A
Dügün Dernek 2: Sünnet,6.5,"7,636",N/A
Dumb and Dumberer: When Harry Met Lloyd,3.4,"35,664",10%
Dumplin',6.6,"23,312",N/A
Eddie Murphy: Delirious,8.2,"15,067",83%
"Edmilson Filho: Notas, Comedy about Relationships",N/A,N/A,N/A
Edoardo Ferrario: Temi caldi,6.7,60,N/A
Ee Nagaraniki Emaindi,7.9,"1,167",N/A
Ek Ladki Ko Dekha Toh Aisa Laga,5.5,"3,008",75%
Ek Main Aur Ekk Tu,5.7,"6,058",63%
El Camino Christmas,5.6,"6,342",40%
El club de los buenos infieles,5.5,367,N/A
"El Especial de Alex Fernández, el Especial",6.5,45,N/A
EMI: Liya Hai To Chukana Padega,4.4,518,N/A
English Babu Desi Mem,4.7,"2,025",N/A
Enissa Amani: Ehrenwort,5.4,123,N/A
Eric ldle's What About Dick?,N/A,N/A,N/A
"Escape from the ""Liberty"" Cinema",7.2,549,N/A
Esperando La Carroza,3.2,245,N/A
Everything About Her,7.2,235,N/A
Evolution,6.1,"114,929",43%
Evvarikee Cheppoddu,8.7,17,N/A
Exit Strategy,3.2,338,N/A
Eyyvah Eyvah,7.1,"16,801",N/A
Eyyvah Eyyvah 2,N/A,N/A,N/A
Eyyvah Eyyvah 3,6.0,"5,645",N/A
F the Prom,4.2,"3,932",N/A
Fabrizio Copano: Solo pienso en mi,N/A,N/A,N/A
Fadily Camara : La plus drôle de tes copines,6.8,8,N/A
Fakkah Fuzz: Almost Banned,5.5,19,N/A
Falling Inn Love,5.6,"10,360",61%
Farce,3.6,"10,366",5%
Fary Is the New Black,5.7,46,N/A
Father of the Year,5.2,"8,198",0%
Fatso,5.6,"4,128",N/A
Fear and Loathing in Las Vegas,7.6,"247,043",49%
Felipe Esparza: They're Not Going to Laugh at You,N/A,N/A,N/A
Felipe Neto: My Life Makes No Sense,N/A,N/A,N/A
Feo pero sabroso,N/A,N/A,N/A
Fernando Sanjiao: Hombre,6.7,10,N/A
Ferrari Ki Sawaari,6.4,"4,679",N/A
First Impression,5.3,24,N/A
Flimflam,5.6,899,N/A
For Here or to Go?,7.9,136,44%
For Love or Money,6.2,"11,264",37%
For Your Own Good,N/A,N/A,N/A
Four Sisters and a Wedding,7.3,510,N/A
Frances Ha,7.4,"62,328",92%
Francesco De Carlo: Cose di questo mondo,N/A,N/A,N/A
Franco Escamilla: Bienvenido al mundo,6.8,97,N/A
Franco Escamilla: Por la anécdota,6.7,135,N/A
Frank and Cindy,6.1,529,N/A
"Frankenstein’s Monster’s Monster, Frankenstein",6.1,"1,058",88%
Frat Star,3.5,426,N/A
Fred Armisen: Standup For Drummers,5.8,"1,040",67%
Freezer's Campaign,N/A,N/A,N/A
Fun Mom Dinner,5.2,"4,135",33%
"Gabriel ""Fluffy"" Iglesias: One Show Fits All",7.2,"1,066",N/A
Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry,N/A,N/A,N/A
Gad Elmaleh: American Dream,7.2,702,N/A
Gad Gone Wild,N/A,N/A,N/A
Garfunkel and Oates: Trying to be Special,7.4,635,N/A
Getting Played,4.8,"1,546",N/A
Ghanchakkar,5.7,"4,047",N/A
Gina Yashere: Laughing to America,N/A,N/A,N/A
Gina Yashere: Skinny B*tch,5.9,34,N/A
"Girl, Boy, Bakla, Tomboy",N/A,N/A,N/A
Girlfriend's Day,5.2,"3,010",43%
Girls With Balls,3.7,"1,654",30%
Good and Prosperous,4.2,55,N/A
Good Kids,6.1,"8,557",33%
Good Luck Chuck,5.6,"82,492",5%
Goon,6.8,"80,361",81%
Goon: Last of the Enforcers,5.8,"10,719",42%
Görümce,5.1,"1,803",N/A
