title,imdbRating,imdbVotes,tomatometer
Five Elements Ninjas,7.4,"1,923",N/A
Flying Guillotine 2,N/A,N/A,N/A
Forbidden Planet,7.6,"42,634",98%
Force 2,6.2,"4,353",55%
Free Fire,6.4,"37,114",69%
From Paris with Love,6.5,"108,419",38%
Fukrey,6.9,"9,627",N/A
FullMetal Alchemist,8.6,"56,931",N/A
Furie,6.4,"2,477",N/A
G.O.R.A,N/A,N/A,N/A
Gabbar Is Back,7.1,"21,488",22%
"Game Over, Man!",5.4,"23,084",20%
GANTZ:O,7.2,"9,569",N/A
Gatao 2: Rise of the King,6.1,230,N/A
Get Smart,6.5,"193,456",50%
Ghost Pain,7.2,"3,403",N/A
Ghost Tears,7.2,"2,208",N/A
Ghost Whispers,N/A,N/A,N/A
Girls und Panzer der Film,7.3,456,N/A
God of War,6.4,"1,796",80%
GODZILLA City on the Edge of Battle,5.8,"3,619",N/A
GODZILLA Planet of the Monsters,6.0,"6,815",80%
GODZILLA The Planet Eater,5.0,"2,864",N/A
​Goli Soda 2,7.6,807,N/A
Gollu Aur Pappu,4.5,82,N/A
Good People,5.5,"14,612",9%
Gridlocked,5.8,"3,564",N/A
Guna 369,8.3,62,N/A
Hajwala 2: Mysterious Mission,N/A,N/A,N/A
Hajwala: The Missing Engine,2.2,173,N/A
HALO Legends,6.6,"4,867",N/A
Halo: The Fall of Reach,5.7,"2,459",N/A
Hamburger Hill,6.7,"22,216",100%
Happy New Year,5.1,"32,193",47%
Haseena Maan Jaayegi,6.2,"2,480",N/A
Headshot,6.3,"11,198",N/A
Helios,5.5,948,N/A
Hell and Back,5.4,"4,494",0%
Hellboy,6.8,"295,290",81%
Hero,7.9,"168,045",N/A
Heroes Wanted,4.5,"1,570",N/A
Hickok,4.7,"2,316",57%
Highway,7.6,"24,058",88%
Himmatwala,1.7,"7,474",N/A
Hit & Run,7.0,31,N/A
Hold the Dark,5.6,"28,974",71%
How It Ends,5.0,"38,773",18%
Hulk Vs.,7.1,"10,888",N/A
Hunter's Prayer,5.5,"6,923",N/A
I Am Vengeance,4.3,976,38%
I Am Wrath,5.4,"11,966",11%
Iceman,6.1,"4,842",N/A
Illang: The Wolf Brigade,6.0,"2,818",25%
Imperfect,9.8,27,N/A
In Search of Fellini,6.2,"1,653",89%
Incoming,3.2,"1,199",N/A
Indiana Jones and the Kingdom of the Crystal Skull,6.1,"402,081",78%
Indiana Jones and the Last Crusade,8.2,"650,678",88%
Indiana Jones and the Raiders of the Lost Ark,N/A,N/A,N/A
Indiana Jones and the Temple of Doom,7.6,"417,581",85%
Inglourious Basterds,8.3,"1,165,905",89%
Initial D,6.4,"6,960",N/A
Inkheart,6.1,"70,361",38%
Insan,4.6,"1,173",N/A
Inside Man: Most Wanted,5.5,"1,173",N/A
InuYasha the Movie 2: The Castle Beyond the Looking Glass,7.6,"1,628",N/A
InuYasha the Movie 3: Swords of an Honorable Ruler,7.8,"1,734",N/A
InuYasha the Movie 4: Fire on the Mystic Island,7.4,"1,396",N/A
InuYasha the Movie: Affections Touching Across Time,7.4,"1,973",N/A
Ip Man,8.0,"199,021",85%
Ip Man 2,7.5,"88,881",N/A
Ip Man 3,7.1,"40,638",N/A
Iron Sky: The Coming Race,5.0,"5,698",29%
Jaal,7.5,75,N/A
Jagga Jasoos,6.4,"8,140",82%
Jailbreak,5.4,"1,026",67%
Jodhaa Akbar,7.6,"27,692",75%
John Carter,6.6,"245,770",52%
Jora 10 Numbaria,6.7,117,N/A
Judwaa 2,3.9,"7,339",36%
Jupiter Ascending,5.3,"169,982",27%
"Justice, My Foot!",6.9,"2,029",N/A
K-19: The Widowmaker,6.7,"56,698",61%
Kabali (Hindi Version),N/A,N/A,N/A
Khalnayak,N/A,N/A,N/A
Khoon Khoon,5.2,24,N/A
Kickboxer: Retaliation,5.0,"3,824",92%
Kickboxer: Vengeance,4.9,"9,718",41%
Kill Command,5.7,"12,230",75%
Kill Ratio,4.1,846,0%
Kill the Irishman,7.1,"43,057",62%
Kills on Wheels,7.1,"2,962",N/A
Kisaan,5.5,240,N/A
Kon-Tiki,7.2,"42,848",81%
Kung Fu Hustle,7.7,"119,181",90%
Kung Fu Yoga,5.2,"8,054",N/A
La Leyenda del Diamante,3.5,22,N/A
Lady Bloodfight,5.6,"1,932",N/A
Lakshya,7.9,"18,890",N/A
Larceny,3.4,793,N/A
Last Knights,6.2,"36,974",13%
Left Behind,3.1,"34,731",1%
Legend of the Naga Pearls,5.5,637,N/A
Legendary Weapons of China,7.0,"1,147",N/A
Legion,5.2,"94,700",19%
Life Ki Toh Lag Gayi,5.7,217,N/A
Lifeline,6.1,605,N/A
Line Walker,6.1,987,N/A
Lion's Heart,6.7,"2,352",N/A
Little Dragon Maiden,N/A,N/A,N/A
"Lock, Stock and Two Smoking Barrels",8.2,"503,727",75%
Locked Up,5.1,933,N/A
Logan's Run,6.8,"48,744",61%
"Look Out, Officer",6.0,511,N/A
Love on Delivery,6.8,"2,236",N/A
Lupin the 3rd: The Castle of Cagliostro: Special Edition,N/A,N/A,N/A
Mahabharat,8.9,"6,779",N/A
Main Hoon Na,N/A,N/A,N/A
Man of Tai Chi,6.1,"33,732",70%
Manhunt,5.1,"3,824",N/A
Mard Ko Dard Nahi Hota,N/A,N/A,N/A
Maria,4.9,"1,291",N/A
Martial Arts of Shaolin,6.6,"1,671",N/A
Marvel's Iron Man & Hulk: Heroes United,N/A,N/A,N/A
Master,6.6,"1,603",N/A
Master Z: The Ip Man Legacy,N/A,N/A,N/A
Mauli,6.0,171,N/A
Men in Black,7.3,"488,855",92%
Men in Black II,6.2,"323,983",39%
Merantau,6.7,"9,593",N/A
Mersal,7.7,"22,619",N/A
MI-5,6.2,"19,811",63%
Mission Istaanbul: Darr Ke Aagey Jeet Hai,3.3,839,N/A
Mission of Honor,5.9,"3,018",83%
Mohawk,4.5,"1,052",83%
Mohenjo Daro,5.7,"9,749",38%
Monty Python and the Holy Grail,8.2,"472,256",97%
Mountain,7.2,"2,885",87%
Mowgli: Legend of the Jungle,6.5,"48,572",52%
Mugamoodi,4.9,842,N/A
Mujrim,5.6,113,N/A
Muran,6.4,243,N/A
Murder at 1600,6.1,"27,019",33%
Mutiny on the Bounty,7.7,"19,428",94%
"My Schoolmate, the Barbarian",N/A,N/A,N/A
My True Friend,6.5,245,N/A
Naam Shabana,6.3,"4,725",22%
Naan Sigappu Manithan,6.6,802,N/A
Naruto Shippuden the Movie: Blood Prison,7.3,"3,760",N/A
Naruto Shippûden the Movie: Bonds,7.0,"3,259",N/A
Naruto Shippûden the Movie: The Will of Fire,N/A,N/A,N/A
Naruto Shippuden: The Movie,7.3,"3,760",N/A
Naruto Shippuden: The Movie: The Lost Tower,N/A,N/A,N/A
Naruto the Movie 2: Legend of the Stone of Gelel,6.6,"3,092",N/A
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,6.5,"2,843",N/A
Naruto the Movie: Ninja Clash in the Land of Snow,6.7,"4,881",N/A
National Lampoon's Loaded Weapon 1,N/A,N/A,N/A
National Treasure,6.8,"289,591",46%
Needhi Singh,5.7,43,N/A
Next,6.2,"142,423",28%
Nibunan,6.7,657,N/A
Ninja Assassin,6.3,"65,719",25%
No Game No Life: Zero,N/A,N/A,N/A
Occupation,5.4,"11,893",47%
Ocean's Eleven,7.8,"484,404",82%
Officer Downe,4.1,"1,698",33%
Offline – Das Leben ist kein Bonuslevel,N/A,N/A,N/A
Oh Darling Yeh Hai India,4.2,"1,459",N/A
Okja,7.3,"78,964",86%
Olympus Has Fallen,6.5,"243,584",49%
On the Wrong Track,6.1,72,N/A
Once a Gangster,5.8,316,N/A
Once Upon a Time in the West,8.5,"280,276",98%
One 2 Ka 4,5.4,"4,499",N/A
Operações Especiais,6.4,"1,269",N/A
Operation Chromite,6.2,"4,088",33%
Operation Mekong,6.6,"3,600",78%
Operation Red Sea,6.7,"4,981",80%
Opium and the Kung Fu Master,N/A,N/A,N/A
Organize Isler,N/A,N/A,N/A
Outlaw King,6.9,"50,460",62%
Outlawed,6.0,"1,422",N/A
Oversize Cops,6.3,63,N/A
Paan Singh Tomar,8.2,"29,933",N/A
Paid in Full,7.0,"9,705",53%
Pandigai,6.8,136,N/A
Paradise Beach,4.4,"1,077",N/A
Paskal,6.9,"2,431",N/A
Paul Blart: Mall Cop,5.2,"97,804",33%
Petta,7.3,"6,834",N/A
Petta (Telugu Version),N/A,N/A,N/A
Phantom,5.8,"12,973",25%
Phantom Boy,6.6,"1,222",88%
Pitaah,6.5,615,N/A
Players,4.1,"3,606",N/A
Point Blank,7.4,"17,009",94%
Polar,6.3,"62,666",20%
Popeye,5.2,"27,698",61%
Poseidon,5.6,"93,749",33%
Pranaam,N/A,N/A,N/A
Prince,4.2,"1,756",N/A
Psychokinesis,5.9,"3,335",80%
Pukar,6.3,258,N/A
Pulang,7.2,385,N/A
Pusher,7.4,"32,116",N/A
