title,tomatometer,reviewCount
I Am,N/A,N/A
The Perfection,73%,86
A Futile and Stupid Gesture,67%,43
Christine,71%,28
Dolemite Is My Name,97%,194
El Potro: Unstoppable,N/A,N/A
Harishchandrachi Factory,N/A,N/A
Jersey Boys,51%,216
My Week with Marilyn,83%,181
Sanju,36%,14
Saving Mr. Banks,79%,254
The Devil's Mistress,N/A,N/A
The Sapphires,91%,136
